,,,,,,,,,,,,,,,,,,,,Total,,Female,,Male,,English Proficient,,Non-Migrant,,Econ Dis,,Not Econ Dis,,American Indian,,Black,,Hispanic/Latino,,Asian,,White,,Multiracial,,Total,,Female,,Male,,English Proficient,,Non-Migrant,,Econ Dis,,Not Econ Dis,,American Indian,,Black,,Hispanic/Latino,,Asian,,White,,Multiracial,
,,,,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,%,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#
School Name,School District,Grades Served,Address,Enrollment ,Male,Female,American Indian/Native,Black,Hispanic/Latino,Asian,White,Multiracial,Limited English Proficiency,Students with Disabilities,Econ Dis Students,Avg. Class Size,Free Lunch,Reduced Lunch,Attendance Rate,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested
Pine Hill Education Center,Cheektowaga,6 - 12,"1635 Delevan Ave., Buffalo, NY 14215",75,52,23,1,36,2,,34,2,-,34,54,-,49,6,79,8,13,-,3,-,10,8,13,8,13,-,1,-,2,0,0,-,9,-,1,0,0,-,3,0,0,0,14,-,3,-,11,0,17,0,17,-,12,-,2,0,0,-,10,-,1,0,0,-,3,0,0
Cheektowaga Middle School,Cheektowaga,5 - 8,"3600 Union Rd., Cheektowaga, NY 14225",646,340,306,4,224,22,34,345,17,12,105,391,21,307,82,95,8,170,31,83,24,87,-,169,28,170,22,99,35,71,-,1,11,62,-,5,71,7,38,89,0,6,15,168,17,82,13,86,-,167,15,168,12,97,18,71,-,1,5,61,-,5,50,6,20,89,0,6
Maryvale Middle School,Cheektowaga-Maryvale,6 - 8,"1050 Maryvale Dr., Cheektowaga, NY 14225",489,258,231,1,40,21,11,401,15,8,70,223,28,142,50,95,54,150,68,79,38,71,54,150,54,150,42,60,62,90,-,-,33,12,38,8,-,1,57,124,-,5,28,148,36,78,19,70,28,148,28,148,20,59,33,89,-,-,17,12,38,8,-,1,27,122,-,5
John F Kennedy Middle School,Cheektowaga-Sloan,6 - 8,"305 Cayuga Creek Rd., Cheektowaga, NY 14227",343,175,168,2,15,6,1,317,2,-,54,204,22,139,61,96,29,113,28,58,31,55,29,113,29,113,25,63,34,50,0,0,-,4,-,1,-,-,31,107,-,1,11,112,14,57,7,55,11,112,11,112,8,62,14,50,0,0,-,4,-,1,-,-,11,106,-,1
Clarence Middle School,Clarence,6 - 8,"10150 Greiner Rd., Clarence, NY 14031",1201,623,578,3,20,19,36,1107,16,-,154,98,26,67,47,97,63,417,71,202,56,215,63,417,63,417,29,28,66,389,-,1,-,6,75,8,86,7,63,386,78,9,59,417,60,202,57,215,59,417,59,417,21,28,61,389,-,1,-,6,50,8,86,7,59,386,44,9
Cleveland Hill Middle School,Cleveland Hill,6 - 8,"105 Mapleview Rd., Cheektowaga, NY 14225",311,161,150,2,88,18,5,185,13,-,44,163,18,124,47,96,31,99,50,42,18,57,31,99,31,99,13,48,49,51,-,-,24,29,-,5,-,3,32,56,33,6,8,99,12,42,5,57,8,99,8,99,2,48,14,51,-,-,7,29,-,5,-,3,9,56,0,6
Depew Middle School,Depew,6 - 8,"5201 S. Transit Rd., Depew, NY 14043",459,238,221,3,19,12,12,410,3,-,46,219,23,151,66,96,33,149,34,73,32,76,-,147,33,149,23,66,41,83,-,-,23,8,-,3,-,4,35,133,-,1,24,145,22,69,26,76,-,143,24,145,14,64,32,81,-,-,0,7,-,3,-,4,26,130,-,1
East Aurora Middle School,East Aurora,5 - 8,"430 Main St., East Aurora, NY 14052",564,290,274,0,3,13,6,542,0,-,4,65,24,58,12,96,62,123,71,62,52,61,62,123,62,123,42,12,64,111,0,0,-,-,-,2,-,4,61,117,0,0,54,122,59,61,49,61,54,122,54,122,42,12,55,110,0,0,-,-,-,2,-,4,53,116,0,0
Eden Junior-Senior High School,Eden,7 - 12,"3150 Schoolview Rd., Eden, NY 14057",801,431,370,2,5,13,5,775,1,-,110,137,18,75,33,96,44,113,55,44,38,69,44,113,-,112,25,24,49,89,0,0,-,-,-,4,-,2,45,107,-,-,26,86,25,32,26,54,26,86,-,85,20,20,27,66,0,0,-,-,-,,-,2,28,80,-,-
Lake Shore Middle School ,Evans-Brant,6 - 8,"8855 Erie Rd., Angola, NY 14006",646,331,315,68,13,9,7,547,2,-,105,267,21,208,83,96,26,216,31,111,22,105,26,216,26,216,17,89,33,127,25,20,-,4,-,3,-,2,27,186,-,1,13,186,13,90,14,96,13,186,13,186,10,78,16,108,6,18,-,2,-,3,-,2,14,160,-,1
Frontier Middle School,Frontier,5 - 8 ,"2751 Amsdell Rd., Hamburg, NY 14075",1175,603,572,4,9,38,6,1096,22,-,206,359,5,167,96,95,46,379,49,178,44,201,46,379,46,379,28,114,54,265,-,3,-,4,20,15,-,3,47,351,-,2,35,361,33,168,36,193,-,360,35,361,23,109,40,252,-,3,-,3,7,15,80,5,35,333,-,2
