,,,,,,,,,,,,,,,,,,,,Total,,Female,,Male,,English Proficient,,Non-Migrant,,Econ Dis,,Not Econ Dis,,American Indian,,Black,,Hispanic/Latino,,Asian,,White,,Multiracial,,Total,,Female,,Male,,English Proficient,,Non-Migrant,,Econ Dis,,Not Econ Dis,,American Indian,,Black,,Hispanic/Latino,,Asian,,White,,Multiracial,
,,,,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,%,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#
School Name,School District,Grades Served,Address,Enrollment ,Male,Female,American Indian/Native,Black,Hispanic/Latino,Asian,White,Multiracial,Limited English Proficiency,Students with Disabilities,Econ Dis Students,Avg. Class Size,Free Lunch,Reduced Lunch,Attendance Rate,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested
Maryvale Intermediate School,Cheektowaga-Maryvale,3 - 5,"1050 Maryvale Dr., Cheektowaga, NY 14225",443,215,228,1,39,12,18,364,9,13,57,223,23,167,45,97,30,138,35,69,26,69,-,135,30,138,23,69,38,69,-,1,13,15,0,5,-,4,35,113,0,0,33,139,36,69,30,70,-,136,33,139,30,70,36,69,-,1,13,15,20,5,-,4,35,114,0,0
Maryvale Primary School,Cheektowaga-Maryvale,PK - 2,"1 Nagel Dr., Cheektowaga, NY 14225",486,250,236,5,37,22,14,380,28,21,54,241,22,166,43,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theodore Roosevelt School,Cheektowaga-Sloan,PK - 2 ,"2495 William St., Cheektowaga, NY 14206",296,157,139,1,16,10,7,258,4,7,50,167,20,129,45,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodrow Wilson Elementary School,Cheektowaga-Sloan,3 - 5 ,"166 Halstead Ave., Sloan, NY 14212",302,151,151,1,16,9,4,267,5,-,50,165,21,116,44,96,35,96,48,44,25,52,35,96,35,96,21,47,49,49,-,2,13,8,-,3,-,1,38,82,0,0,32,96,39,44,27,52,32,96,32,96,23,47,41,49,-,2,25,8,-,3,-,1,33,82,0,0
Clarence Center Elementary School,Clarence,K - 5,"9600 Clarence Ctr Rd., Clarence Center, NY 14032",440,204,236,0,1,5,7,415,12,-,42,43,21,32,14,97,71,75,81,36,62,39,71,75,71,75,60,5,71,70,0,0,0,0,-,1,-,2,71,70,-,2,61,75,58,36,64,39,61,75,61,75,60,5,61,70,0,0,0,0,-,1,-,2,61,70,-,2
Harris Hill Elementary School,Clarence,K - 5,"4260 S. Harris Hill Rd., Williamsville, NY 14221",532,270,262,3,6,18,20,470,15,-,89,68,22,50,17,97,57,89,60,43,54,46,57,89,57,89,43,14,60,75,0,0,0,0,-,3,-,1,58,83,-,2,55,88,51,43,58,45,55,88,55,88,46,13,,,,,,0,-,,-,1,55,83,-,2
Ledgeview Elementary School ,Clarence,K - 5,"5150 Old Goodrich Rd., Clarence, NY 14031",523,259,264,0,6,7,21,479,10,-,32,39,23,28,9,96,66,92,74,47,58,45,66,92,66,92,38,8,69,84,0,0,-,1,0,0,-,7,68,82,-,2,76,93,77,47,76,46,76,93,76,93,88,8,75,85,0,0,-,1,0,0,-,7,76,83,-,2
Sheridan Hill Elementary School,Clarence,K - 5 ,"4560 Boncrest Dr. E., Williamsville, NY 14221",534,281,253,1,2,15,35,476,5,6,63,20,21,16,3,97,49,100,57,42,43,58,-,98,49,100,0,7,53,93,0,0,-,1,-,1,-,5,48,93,0,0,56,100,62,42,52,58,-,98,56,100,29,7,58,93,0,0,-,1,-,1,-,5,54,93,0,0
Cleveland Hill Elementary School,Cleveland Hill,PK - 6,"105 Mapleview Rd., Cheektowaga, NY 14225",602,295,307,2,147,49,8,349,47,6,68,283,19,259,74,96,49,93,51,45,48,48,49,93,49,93,31,49,70,44,-,-,27,22,-,6,-,1,56,57,71,7,32,93,24,45,40,48,32,93,32,93,18,49,48,44,-,-,27,22,-,6,-,1,37,57,14,7
Cayuga Heights Elementary School,Depew,K - 5,"1780 Como Park Blvd., Depew, NY 14043",851,450,401,3,25,28,18,757,20,7,113,396,21,306,97,96,26,134,31,64,21,70,-,131,26,134,18,67,34,67,-,-,-,4,-,1,-,4,25,122,-,3,23,136,23,64,22,72,-,133,23,136,19,69,27,67,-,-,-,4,-,1,-,4,23,124,-,3
