ID,Item Type,Unavailable?,Status(es),Additional Image,Attachment,Categories,Condition,Daily Late Fee,Description,Image,Keywords,Name,Price to Purchase,Purchased?,Replacement Cost,Serial Number,Source / Supplier
1010,Jig Saws,,,,,"83,85,88",4,$1.00,"The Ryobi 18-Volt Cordless Orbital Jig Saw is a lightweight saw that helps you make accurate cuts and a powerful motor that delivers 0 - 2,100 SPM. The ergonomically designed handle offers a comfortable feel. With 4 orbital positions with base adjustment from 0 degrees to 45 degrees right or left, the saw can make an extremely wide range of cuts.",/files/images/attribute_image8225159225009652927.jpg;/files/images/attribute_image8225159225009652927.jpg;/files/images/attribute_thumbnail8538477943652545412.jpg,"jig saw, saw",Ryobi 18-Volt Cordless Jig Saw,,,,,Donation
1011,Power Drills,,,,,"83,85,88",5,$1.00,"The Milwaukee 0240-20 3/8 in. Tradesman Drill features an 8.0 Amp motor and 0 - 2,800 RPM to deliver the power and control you need when drilling in metal and wood and in fastening applications. The powerful motor and variable-speed trigger deliver speed for fast drilling, while the all-metal gear case offers durability and superior support in high-torque applications. Users get increased maneuverability and control with the drill’s side handle. The soft grip handle and two-finger trigger provide added comfort during prolonged use.",/files/images/attribute_image1271914066730984166.jpg;/files/images/attribute_image1271914066730984166.jpg;/files/images/attribute_thumbnail2968892930125957394.jpg,"drill, corded drill",Milwaukee 3/8 in. Tradesman Corded Drill,,Y,,,Home Depot
1012,Power Drills,,,,,"83,85,88",4,$1.00,,/files/images/attribute_image8662456413599115164.jpg;/files/images/attribute_image8662456413599115164.jpg;/files/images/attribute_thumbnail3276663153675598845.jpg,"drill, corded drill",Black & Decker 3/8 in. Corded Drill,,,,,Donation
1013,Power Drills,,,,,"83,85,88",3,$1.00,,/files/images/attribute_image8365925294035564665.jpg;/files/images/attribute_image8365925294035564665.jpg;/files/images/attribute_thumbnail3787465437939099333.jpg,"drill, corded drill",Craftsman 3/8 in. Corded Drill,,,,,Donation
1014,Power Drills,,,,,"83,85,88",3,$1.00,,/files/images/attribute_image8012664630856200557.jpg;/files/images/attribute_image8012664630856200557.jpg;/files/images/attribute_thumbnail261914121277595004.jpg,"drill, corded drill",Black & Decker 3/8 in. Corded Drill,,,,,Donation
1015,Power Drills,,,,,"83,85,88",3,$1.00,,/files/images/attribute_image8118963626421253634.jpg;/files/images/attribute_image8118963626421253634.jpg;/files/images/attribute_thumbnail1509940687674806178.jpg,"drill, corded drill",Black & Decker 3/8 in. Corded Drill,,,,,Donation
1016,Sawzall,,,,,"83,85,88",4,$1.00,,/files/images/attribute_image8023622319303994000.jpg;/files/images/attribute_image8023622319303994000.jpg;/files/images/attribute_thumbnail7291723512750774257.jpg,"saw, sawzall, reciprocating jaw",Chicago 4.5-Amp Sawzall,,,,,Donation
1017,Sawzall,,,,,"83,85,88",4,$1.00,,/files/images/attribute_image4344627628352530919.jpg;/files/images/attribute_image4344627628352530919.jpg;/files/images/attribute_thumbnail3227103295154487475.jpg,"saw, sawzall, reciprocating saw",Chicago 4.5-Amp Sawzall,,,,,Donation
1018,Sawzall,,,,,"83,85,88",52,$1.00,,/files/images/attribute_image2918285734980773756.jpg;/files/images/attribute_image2918285734980773756.jpg;/files/images/attribute_thumbnail6150399184677773644.jpg,"saw, sawzall, reciprocating saw",Ryobi 18-Volt Cordless Sawzall,,,,,Donation
1019,Sawzall,,,,,"83,85,88",2,$1.00,,/files/images/org/10/attribute_image1628815376534607327.jpg;/files/images/org/10/attribute_image1628815376534607327.jpg;/files/images/org/10/attribute_thumbnail452284742319208741.jpg,"saw, sawzall, power saw",Sears Sawzall,,,,,Donation
