address,condition,occupancy,comments,Occupied
"82 Dunlop Ave , Buffalo, NY",1,1,,1
"38 Dunlop Ave Buffalo, NY",1,1,,1
"107 Dunlop Ave, Buffalo, NY",1,1,,1
"139 Dunlop Ave, Buffalo, NY",3,2,,0
"3193 Main Street, Buffalo, NY",1,1,,1
"60 E Depew Ave, Buffalo, NY",1,1,,1
"59 E Morris Ave, Buffalo, NY",1,1,,1
"179 E Morris Ave, Buffalo, NY",1,1,,1
"71 E Morris Ave, Buffalo, NY",,1,,1
"91 E Morris Ave, Buffalo, NY",1,1,,1
"40 Winspear Ave, Buffalo, NY",1,1,,1
"44 Winspear Ave, Buffalo, NY",2,1,,1
"96 E Morris Ave, Buffalo, NY",1,1,,1
"105 E Morris Ave, Buffalo, NY",1,1,,1
"104 Winspear Ave, Buffalo, NY",2,1,,1
"131 Mercer Ave, Buffalo, NY",1,1,,1
"43 Benwood Ave, Buffalo, NY",1,1,,1
"15 Lisbon, Buffalo, NY",3,3,,1
"88 Highgate Ave, Buffalo, NY",1,1,,1
"96 Highgate, Buffalo, NY",1,1,,1
"141 Range Ave, Buffalo, NY",1,1,,1
"167 Range Ave, Buffalo, NY",1,1,,1
"109 Winspear Ave, Buffalo, NY",2,1,,1
"119 Highgate Ave, Buffalo, NY",1,1,,1
"26 Shirley Ave, Buffalo, NY",1,1,,1
"71 Northrup Place, Buffalo, NY",1,1,,1
"81 Northrup Place, Buffalo, NY",1,1,,1
"26 Northrup Place, Buffalo, NY",2,1,,1
"24 Dartmouth Ave Buffalo, NY",1,1,,1
"210 Highgate Ave, Buffalo, NY",2,1,,1
"228 Highgate Ave, Buffalo, NY",1,1,,1
"166 Lisbon Ave, Buffalo, NY",2,1,,1
"246 Highgate Ave, Buffalo, NY",1,1,,1
"163 Lisbon Ave, Buffalo, NY",2,1,,1
"175 Lisbon Ave, Buffalo, NY",2,1,,1
"254 LaSalle Ave, Buffalo, NY",2,1,,1
"94 Dartmouth Ave, Buffalo, NY",1,1,,1
"130 Dartmouth Ave, Buffalo, NY",2,1,,1
"217 Winspear Ave, Buffalo, NY",2,1,,1
"11 Dartmouth Ave Buffalo, NY",2,1,,1
"95 Dartmouth Ave, Buffalo, NY",1,1,,1
"295 LaSalle Ave, Buffalo, NY",1,1,,1
"22 Dartmouth Ave Buffalo, NY",1,1,,1
"132 Dunlop Ave, Buffalo, NY",1,1,,1
"117 Dunlop Ave, Buffalo, NY",1,1,,1
"145 Dunlop Ave, Buffalo, NY",2,1,,1
"3199 Main Street, Buffalo, NY",1,1,,1
"137 E Morris Ave, Buffalo, NY",1,1,,1
"145 E Morris Ave, Buffalo, NY",1,1,,1
"34 E Depew Ave, Buffalo, NY",1,1,,1
"153 E Morris Ave, Buffalo, NY",1,1,,1
"61 E Depew Ave, Buffalo, NY",1,1,,1
"148 E Morris Ave, Buffalo, NY",1,1,,1
"170 E Morris Ave, Buffalo, NY",1,1,,1
"32 Winspear Ave, Buffalo, NY",1,1,,1
"76 Benwood Ave, Buffalo, NY",1,1,,1
"76 Winspear Ave, Buffalo, NY",1,1,,1
"100 Winspear Ave, Buffalo, NY",2,1,,1
"17 Winspear Ave, Buffalo, NY",2,1,,1
"11 E Morris Ave Buffalo, NY",1,1,,1
"43 Winspear Ave, Buffalo, NY",2,1,,1
"2787 Main St, Buffalo, NY",1,1,,1
"100 Highgate Ave, Buffalo, NY",1,1,,1
"143 Range Ave, Buffalo, NY",4,2,,0
"85 Highgate Ave, Buffalo, NY",3,1,,1
"19 Shirley Ave, Buffalo, NY",1,1,,1
"89 Highgate Ave, Buffalo, NY",2,1,,1
"37 Shirley Ave, Buffalo, NY",1,1,,1
"14 Dartmouth Ave Buffalo, NY",1,1,,1
"20 Dartmouth Ave Buffalo, NY",1,1,,1
"57 Northrup Place, Buffalo, NY",2,1,,1
"66 Northrup Place, Buffalo, NY",4,2,,0
"184 Highgate Ave, Buffalo, NY",2,1,,1
"108 Lisbon Ave, Buffalo, NY",3,1,,1
"188 Highgate Ave, Buffalo, NY",1,1,,1
"200 Highgate Ave, Buffalo, NY",1,1,,1
